                    NDX        AAPL       MSFT       INTL
2012-10-01  2794.280029   94.198570  29.490000  22.760000
2012-10-02  2799.290039   94.472855  29.660000  22.840000
2012-10-03  2818.840088   95.921425  29.860001  22.549999
2012-10-04  2828.600098   95.257141  30.030001  22.469999
2012-10-05  2811.939941   93.227142  29.850000  22.680000
2012-10-08  2786.919922   91.167145  29.780001  22.510000
2012-10-09  2741.919922   90.835716  29.280001  21.900000
2012-10-10  2728.540039   91.558571  28.980000  21.760000
2012-10-11  2719.209961   89.728569  28.950001  21.680000
2012-10-12  2720.139893   89.958572  29.200001  21.480000
2012-10-15  2739.870117   90.680000  29.510000  21.730000
2012-10-16  2778.379883   92.827141  29.490000  22.350000
2012-10-17  2775.620117   92.087143  29.590000  21.790001
2012-10-18  2744.169922   90.377144  29.500000  21.670000
2012-10-19  2678.320068   87.120003  28.639999  21.270000
2012-10-22  2694.560059   90.575714  28.000000  21.459999
2012-10-23  2666.020020   87.622856  28.049999  21.590000
2012-10-24  2655.550049   88.118568  27.900000  21.459999
2012-10-25  2657.659912   87.077141  27.879999  21.690001
2012-10-26  2665.830078   86.285713  28.209999  21.950001
2012-10-31  2647.919922   85.045715  28.540001  21.629999
2012-11-01  2687.520020   85.220001  29.520000  22.260000
2012-11-02  2656.280029   82.400002  29.500000  22.059999
2012-11-05  2672.909912   83.517143  29.629999  21.840000
2012-11-06  2681.050049   83.264282  29.860001  21.730000
2012-11-07  2612.689941   79.714287  29.080000  20.910000
2012-11-08  2572.570068   76.821426  28.809999  20.830000
2012-11-09  2584.100098   78.151428  28.830000  20.799999
2012-11-12  2582.770020   77.547142  28.219999  20.770000
2012-11-13  2561.860107   77.557144  27.090000  20.280001
...                 ...         ...        ...        ...
2017-08-18  5790.910156  157.500000  72.489998  35.009998
2017-08-21  5786.540039  157.210007  72.150002  34.919998
2017-08-22  5873.330078  159.779999  73.160004  34.650002
2017-08-23  5851.779785  159.979996  72.720001  34.660000
2017-08-24  5834.439941  159.270004  72.690002  34.709999
2017-08-25  5822.529785  159.860001  72.820000  34.669998
2017-08-28  5838.080078  161.470001  72.830002  34.650002
2017-08-29  5862.140137  162.910004  73.050003  34.730000
2017-08-30  5932.899902  163.350006  74.010002  34.889999
2017-08-31  5988.600098  164.000000  74.769997  35.070000
2017-09-01  5987.899902  164.050003  73.940002  35.090000
2017-09-05  5932.729980  162.080002  73.610001  35.020000
2017-09-06  5951.129883  161.910004  73.400002  35.759998
2017-09-07  5964.310059  161.259995  74.339996  35.540001
2017-09-08  5913.370117  158.630005  73.980003  35.189999
2017-09-11  5980.529785  161.500000  74.760002  35.770000
2017-09-12  5995.640137  160.860001  74.680000  36.090000
2017-09-13  6004.379883  159.649994  75.209999  36.330002
2017-09-14  5968.819824  158.279999  74.769997  36.480000
2017-09-15  5988.000000  159.880005  75.309998  37.000000
2017-09-18  5981.120117  158.669998  75.160004  37.000000
2017-09-19  5991.080078  158.729996  75.440002  37.230000
2017-09-20  5973.609863  156.070007  74.940002  37.070000
2017-09-21  5934.910156  153.389999  74.209999  37.200001
2017-09-22  5932.319824  151.889999  74.410004  37.180000
2017-09-25  5867.350098  150.550003  73.260002  37.160000
2017-09-26  5881.339844  153.139999  73.260002  37.470001
2017-09-27  5937.790039  154.229996  73.849998  37.540001
2017-09-28  5933.069824  153.279999  73.870003  37.830002
2017-09-29  5979.299805  154.119995  74.489998  38.080002

[1258 rows x 4 columns]
